,경기번호,팀명,경기날짜,결과,No.,이름,출전세트_1set,출전세트_2set,출전세트_3set,출전세트_4set,출전세트_5set,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실
0,1,현대캐피탈,2017-10-14,1,11,안드레아스 (L),O,O,O,O,,23,34,21,0,1,61.76,35.05,10,6,0,1,60,34.48,1,1,0,0,100,20,0,0,0,0,0,0,8,6,0,0,75,38.1,0,0,0,0,0,0,15,8,0,0,53.33,53.57,14,0,8,0,13.59,6,4,2,0,1,9.68,2,0,0,0,1.92,17,10,0,2.5,22.08,12,2,4,2,1,0.5,25,3,0,10
1,1,현대캐피탈,2017-10-14,1,15,문성민 (R),O,O,O,O,,18,32,17,3,2,53.13,32.99,11,5,1,1,45.45,37.93,1,1,0,0,100,20,0,0,0,0,0,0,13,6,2,1,46.15,61.9,0,0,0,0,0,0,7,5,0,0,71.43,25,15,1,5,0.25,14.56,8,5,3,0,1.25,12.9,2,1,0,0.25,1.92,0,0,0,0,0,7,0,2,4,0,0,14.58,0,0,7
2,1,현대캐피탈,2017-10-14,1,18,신영석 (C),O,O,O,O,,10,8,4,1,0,50,8.25,2,1,0,0,50,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,50,42.86,0,0,0,0,0,0,16,1,0,0.25,15.53,5,5,0,0,1.25,8.06,4,1,1,0.25,3.85,2,1,0,0.25,2.6,11,5,0,4,0,1.25,22.92,2,0,1
3,1,현대캐피탈,2017-10-14,1,19,김재휘 (C),O,O,O,O,,7,8,4,0,0,50,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,50,57.14,0,0,0,0,0,0,14,1,4,0.25,13.59,3,2,1,0,0.5,4.84,1,1,0,0.25,0.96,0,0,0,0,0,10,2,2,4,1,0.5,20.83,0,0,5
4,1,현대캐피탈,2017-10-14,1,14,이시우 (L),19,9,9,9,,7,8,6,0,1,75,8.25,1,0,0,1,0,3.45,3,2,0,0,66.67,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,100,14.29,10,1,3,0.25,9.71,5,3,2,0,0.75,8.06,3,2,0,0.5,2.88,15,7,2,1.25,19.48,1,0,0,1,0,0,2.08,1,0,4
5,1,현대캐피탈,2017-10-14,1,9,박주형 (L),8,O,O,O,,2,4,2,0,0,50,4.12,3,1,0,0,33.33,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,3.57,6,0,0,0,5.83,8,4,4,0,1,12.9,1,0,0,0,0.96,15,4,1,0.75,19.48,0,0,0,0,0,0,0,0,0,0
6,1,현대캐피탈,2017-10-14,1,3,노재욱 (S),O,O,O,O,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,23.3,9,5,4,0,1.25,14.52,72,43,0,10.75,69.23,0,0,0,0,0,6,1,2,2,0,0.25,12.5,1,0,0
7,1,현대캐피탈,2017-10-14,1,8,송준호 (R),O,,,,,0,2,0,0,1,0,2.06,1,0,0,1,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.57,1,0,0,0,0.97,2,1,1,0,1,3.23,0,0,0,0,0,10,5,2,3,12.99,1,0,0,1,0,0,2.08,0,0,1
8,1,현대캐피탈,2017-10-14,1,7,허수봉 (L),,,,15,,0,1,0,0,0,0,1.03,1,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.97,1,0,1,0,0,1.61,1,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,현대캐피탈,2017-10-14,1,2,박종영 (L),,19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
