hour,temperature,precipitation,windspeed,humidity,visibility,ozone,pm10,pm2.5,count
5,,no,0.3,78.0,1521.0,0.021,28.0,28.0,8
22,20.2,no,2.8,54.0,2000.0,0.022000000000000002,28.0,21.0,195
11,24.4,no,1.9,41.0,1362.0,0.035,48.0,27.0,90
11,15.0,no,1.4,50.0,1517.0,0.03,48.0,24.0,86
2,13.6,no,1.7,80.0,1073.0,0.027000000000000003,34.0,15.0,39
10,,no,1.4,54.0,990.0,0.016,35.0,23.0,90
0,18.8,no,2.5,51.0,1638.0,0.051,51.0,35.0,106
8,13.3,no,0.6,66.0,1144.0,0.006,41.0,28.0,217
20,16.1,no,4.3,24.0,2000.0,0.045,47.0,15.0,169
14,,no,4.9,52.0,1331.0,0.063,53.0,28.0,130
10,8.7,no,0.6,,1949.0,0.018000000000000002,21.0,20.0,61
15,21.9,no,5.4,21.0,1907.0,0.062,92.0,19.0,139
4,,yes,3.4,98.0,137.0,0.04,24.0,24.0,2
8,11.6,no,2.0,,1143.0,0.01,64.0,51.0,35
11,20.3,no,2.4,69.0,670.0,0.054000000000000006,58.0,38.0,85
17,19.5,no,2.6,54.0,579.0,0.059000000000000004,66.0,51.0,195
9,11.4,no,0.7,59.0,1297.0,0.021,45.0,25.0,119
23,,no,1.4,47.0,2000.0,0.046,45.0,23.0,114
15,21.2,no,3.7,12.0,2000.0,0.047,23.0,12.0,133
18,,no,3.1,56.0,1804.0,0.05,47.0,26.0,297
8,,no,0.9,77.0,613.0,0.005,82.0,40.0,35
14,19.2,no,4.0,16.0,1935.0,0.048,24.0,13.0,149
4,17.8,no,1.8,91.0,328.0,0.013000000000000001,25.0,22.0,9
0,,no,2.2,61.0,2000.0,0.036000000000000004,44.0,17.0,63
6,10.4,no,1.7,50.0,1976.0,0.024,94.0,27.0,30
9,16.4,no,1.0,62.0,503.0,0.07200000000000001,86.0,51.0,57
2,6.4,no,0.9,58.0,1039.0,0.031,72.0,56.0,3
19,10.8,yes,3.9,92.0,250.0,0.032,34.0,28.0,1
8,8.6,no,2.0,89.0,223.0,0.01,74.0,64.0,34
4,10.1,no,1.6,73.0,937.0,0.04,50.0,22.0,12
7,8.6,no,1.0,85.0,490.0,0.004,75.0,38.0,24
21,,no,0.8,47.0,715.0,0.092,100.0,56.0,229
8,12.9,no,2.1,86.0,443.0,0.013999999999999999,56.0,38.0,48
2,,no,2.5,45.0,2000.0,0.037000000000000005,32.0,25.0,21
21,19.2,no,4.1,,2000.0,0.051,38.0,20.0,166
9,,no,3.0,99.0,165.0,0.023,25.0,22.0,52
